host_shortname,datacenter_id,ci_type,offering,cdir,customer_id,server_purpose,os_type,os_name,sid,primary_application_area,function,mgmt_ip,cust_ip,dpe_email,pdl_email,sid2,ifn,purpose,hypervisor_cluster_id
bhtrxdmtxd02,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.14,192.168.15.14,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_012
bhepsdmepd01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.10,192.168.15.10,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_013
bhnwddmdi601,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.17,192.168.15.17,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_014
bhepbdmbpd01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.8,192.168.15.8,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_015
bhbw0dmbid01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.7,192.168.15.7,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_016
bheccdmdev01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.9,192.168.15.9,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_017
nswbhdscerdc01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.11,192.168.15.11,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_018
bhtdmdmtdm01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.12,192.168.15.12,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_019
bhnwddmnd601,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.15,192.168.15.15,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_020
nswsceshdev,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.21,192.168.15.21,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_021
bheccrmreg01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.22,192.168.15.22,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_022
bhftpdm01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.24,192.168.15.24,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_023
bhepbqmbpq01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.26,192.168.15.26,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_024
vichshuatdt,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.23,192.168.15.23,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_025
vichfim01dt,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.25,192.168.15.25,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_026
bhepsrmepr01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.19,192.168.15.19,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_027
bhtrxrmtxr02,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.27,192.168.15.27,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_028
bhbw0qmbiq01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.29,192.168.15.29,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_029
bhftprm01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.32,192.168.15.32,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_030
bhftpqm01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.33,192.168.15.33,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_031
bhbw0rmbir01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.34,192.168.15.34,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_032
bhepbrmbpr01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.35,192.168.15.35,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_033
bhpo0qmpoq01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.36,192.168.15.36,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_034
bhpo0rmpor01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.20,192.168.15.20,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_035
bhpo0dmpod01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.28,192.168.15.28,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_036
win-ld874a0fgr0,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.39,192.168.15.39,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_037
bhepsqmepq01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.30,192.168.15.30,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_038
bhiqxiisdev,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.47,192.168.15.47,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_039
bhiqxsqldev,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.46,192.168.15.46,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_040
wmeccpmlgc01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.48,192.168.15.48,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_041
bhtrxdptd102,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.50,192.168.15.50,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_041
bhtrxqptq102,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.51,192.168.15.51,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_001
footdevelopment,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.53,192.168.15.53,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_002
bheccqmqas01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.55,192.168.15.55,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_003
bheccdmdv301,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.56,192.168.15.56,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_004
bhrcmappdev,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.57,192.168.15.57,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_005
bhrcmsqldev,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.58,192.168.15.58,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_006
bhsepca01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.59,192.168.15.59,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_007
bhwdsdpgwd01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.31,192.168.15.31,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_008
bhmftdbdev01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.61,192.168.15.61,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_009
bhbts01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.62,192.168.15.62,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_010
bhiqxiisqas,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.63,192.168.15.63,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_011
bhiqxdbqas,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.64,192.168.15.64,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_012
bhmftapp01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.65,192.168.15.65,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_013
bhfs01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.66,192.168.15.66,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_014
bhmftpapp02,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.68,192.168.15.68,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_015
bhrcmappreg,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.69,192.168.15.69,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_016
bhrcmsqlreg,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.70,192.168.15.70,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_017
bhmftpsql01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.67,192.168.15.67,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_018
bhiqsiisreg,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.72,192.168.15.72,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_019
bhiqxsqlreg,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.73,192.168.15.73,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_020
bhgwsdpgwd03,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.79,192.168.15.79,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_021
au0411sl21050,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.80,192.168.15.80,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_022
bhbw0rmbir02,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.81,192.168.15.81,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_023
bhcm-ictm-01-ap,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.83,192.168.15.83,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_024
bheccdmdev01a,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.84,192.168.15.84,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_025
bhgwsdpgwq01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.84,192.168.15.84,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_026
bhcm-tm1-01-ap,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.82,192.168.15.82,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_027
bhnftlb02,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.71,192.168.15.71,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_028
bhnftlb03,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.77,192.168.15.77,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_029
bhnftlb04,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.75,192.168.15.75,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_030
bhnftlb05,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.76,192.168.15.76,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_031
bhnftlb06,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.78,192.168.15.78,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_032
bhnftlb01,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.74,192.168.15.74,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_033
bhsoldmsme01,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.16,192.168.15.16,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_034
bhepbdpbd101,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.45,192.168.15.45,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_035
bhpo0dppd101,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.49,192.168.15.49,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_036
bhepsdped101,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.38,192.168.15.38,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_037
bhbw0dpbd201,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.44,192.168.15.44,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_038
bheccdpdv101,SYDNEY PROD-POD1,N/A,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.40,192.168.15.40,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_039
wmeccpmlgc01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.48,192.168.15.48,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_040
vm2512500,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.53.48,10.240.47.48,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_041
vm2512460,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.53.46,10.240.47.46,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_001
vm2512540,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.53.49,10.240.47.49,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_002
vm2512480,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.47.62,10.240.41.62,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_003
vm2512620,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.54.93,10.240.48.93,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_004
vm2512780,ABN AMRO PROD-POD1,xSeries,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.18.16,10.240.12.16,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_005
vm2512840,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.26.50,10.240.20.50,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_006
vm2512810,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.47.65,10.240.41.65,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_007
vm2512820,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.53.51,10.240.47.51,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_008
vm2512860,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.20.51,10.240.14.51,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_009
vm2512950,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.47.69,10.240.41.69,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_010
vm2512980,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.26.52,10.240.20.52,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_011
vm2512960,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.53.55,10.240.47.55,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_012
vm2512990,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.18.44,10.240.12.44,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_013
vm2512970,ABN AMRO PROD-POD1,xSeries,CMS,AB3,ABN AMRO N.V.,Prod,Windows,N/A,N/A,N/A,N/A,172.18.47.70,10.240.41.70,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_014
vm2513010,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.53.56,10.240.47.56,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_015
vm2513020,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.47.71,10.240.41.71,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_016
vm1010210,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.47.59,10.240.41.59,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_017
vm1010310,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.47.72,10.240.41.72,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_018
vm2513130,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Windows,N/A,N/A,N/A,N/A,172.18.22.51,10.240.16.51,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_019
vm2513290,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.34.123,10.240.28.123,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_020
vm2513280,ABN AMRO PROD-POD1,N/A,CMS,AB3,ABN AMRO N.V.,Prod,Linux,N/A,N/A,N/A,N/A,172.18.34.40,10.240.28.40,Pramod Sathyanarayan,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_021
